system,np,T_gemm_cublas_s,T_gemm_g8mix_s,s_eff,f_diag,S_pred_diag,S_meas_diag,f_total,S_pred_total,S_meas_total
bcol216,48,3.04,3.239,0.939,0.082,0.995,1.008,0.0373,0.998,1.001
bcol300,48,9.853,8.271,1.191,0.1186,1.019,1.017,0.075,1.012,0.87
bnc216,48,13.467,12.514,1.076,0.0876,1.006,0.978,0.0534,1.004,0.986
ccol216,48,0.07,0.11,0.641,0.0085,0.995,1.018,0.0014,0.999,0.989
ccol360,48,0.325,0.413,0.788,0.0203,0.995,0.987,0.0047,0.999,1.0
cnc216,48,0.807,0.907,0.889,0.026,0.997,1.008,0.008,0.999,1.006
cnc300,48,2.184,2.185,0.999,0.0383,1.0,1.003,0.0161,1.0,1.003
